hour_of_year,temperature,heat_runtime,aux_runtime,emg_runtime
5208,75.0640687026219,0,0,0
5209,74.6128025734767,0,0,0
5210,74.1759977535842,0,0,0
5211,73.7523807048984,0,0,0
5212,73.3231461971326,0,0,0
5213,72.9065594162789,0,0,0
5214,72.5136944920834,0,0,0
5215,72.1582819588294,0,0,0
5216,71.9978280331541,0,0,0
5217,72.0159099713261,0,0,0
5218,72.228892260454,0,0,0
5219,72.5951066699522,0,0,0
5220,73.0563557726191,0,0,0
5221,73.635454853869,0,0,0
5222,74.2004678869047,0,0,0
5223,74.7908962369513,0,0,0
5224,75.3054596183274,0,0,0
5225,75.6944187508897,0,0,0
5226,76.0445557846975,0,0,0
5227,76.2484251343416,0,0,0
5228,76.1963944242586,0,0,0
5229,75.9751690547619,0,0,0
5230,75.6966827508929,0,0,0
5231,75.4196575360119,0,0,0
5232,75.1109804896749,0,0,0
5233,74.7660281421131,0,0,0
5234,74.4162353672619,0,0,0
5235,74.0275295764031,0,0,0
5236,73.6108233678814,0,0,0
5237,73.257820517686,0,0,0
5238,72.8477458659679,0,0,0
5239,72.5097544217262,0,0,0
5240,72.3060739886905,0,0,0
5241,72.2940584622836,0,0,0
5242,72.3973425022647,0,0,0
5243,72.7098614279359,0,0,0
5244,73.1785415800595,0,0,0
5245,73.7626419780788,0,0,0
5246,74.4352541773049,0,0,0
5247,75.0425310691991,0,0,0
5248,75.6414581337671,0,0,0
5249,76.1759829981821,0,0,0
5250,76.5274000260973,0,0,0
5251,76.7533118330378,0,0,0
5252,76.7114124698581,0,0,0
5253,76.4445064520038,0,0,0
5254,76.130206778169,0,0,0
5255,75.7733255871479,0,0,0
5256,75.3907848471731,0,0,0
5257,75.021165307126,0,0,0
5258,74.6568535453475,0,0,0
5259,74.2661932340989,0,0,0
5260,73.8869585651142,0,0,0
5261,73.5073906420255,0,0,0
5262,73.1261790950292,0,0,0
5263,72.798025774269,0,0,0
5264,72.5426070105263,0,0,0
5265,72.4656995491229,0,0,0
5266,72.6417799763158,0,0,0
5267,73.0061010049884,0,0,0
5268,73.5885366113074,0,0,0
5269,74.2019679157864,0,0,0
5270,74.8084775099765,0,0,0
5271,75.4222607209507,0,0,0
5272,75.9998829596585,0,0,0
5273,76.4683929717314,0,0,0
5274,76.8401634762074,0,0,0
5275,77.0331105273345,0,0,0
5276,77.0117307559313,0,0,0
5277,76.8129093581366,0,0,0
5278,76.4833623116845,0,0,0
5279,76.0798426242585,0,0,0
5280,75.6997550407802,0,0,0
5281,75.3414704225978,0,0,0
5282,74.9884576417557,0,0,0
5283,74.6187488021572,0,0,0
5284,74.2146557245863,0,0,0
5285,73.7933993117021,0,0,0
5286,73.3844057796691,0,0,0
5287,73.0369506244089,0,0,0
5288,72.7696252142435,0,0,0
5289,72.7745098321512,0,0,0
5290,72.9429937158423,0,0,0
5291,73.3069133127208,0,0,0
5292,73.8342837021276,0,0,0
5293,74.4597334728133,0,0,0
5294,75.0667211164816,0,0,0
5295,75.6704821086573,0,0,0
5296,76.2126783942684,0,0,0
5297,76.6967099575972,0,0,0
5298,77.0628182932862,0,0,0
5299,77.2188771404182,0,0,0
5300,77.2094046904112,0,0,0
5301,77.0206480253239,0,0,0
5302,76.7119544864547,0,0,0
5303,76.2950827470554,0,0,0
5304,75.8968920694935,0,0,0
5305,75.5088997353286,0,0,0
5306,75.1039869527582,0,0,0
5307,74.7037529260564,0,0,0
5308,74.3017387720071,0,0,0
5309,73.8776651939555,0,0,0
5310,73.4904402892659,0,0,0
5311,73.1185934367744,0,0,0
5312,72.8814656713781,0,0,0
5313,72.8609662734741,0,0,0
5314,73.0241017444249,0,0,0
5315,73.3129904762324,0,0,0
5316,73.7919489227448,0,0,0
5317,74.3437344788733,0,0,0
